munic;codigo_ibge;latitude;longitude
Piracaia;3538600;-23.0525;-46.3594
Piracicaba;3538709;-22.7338;-47.6476
Piraju;3538808;-23.1981;-49.3803
Pirajuí;3538907;-21.999;-49.4608
Pirangi;3539004;-21.0886;-48.6607
Pirapora do Bom Jesus;3539103;-23.3965;-46.9991
Pirapozinho;3539202;-22.2711;-51.4976
Pirassununga;3539301;-21.996;-47.4257
Piratininga;3539400;-22.4142;-49.1339
Pitangueiras;3539509;-21.0132;-48.221
Planalto;3539608;-21.0342;-49.933
Platina;3539707;-22.6371;-50.2104
Poá;3539806;-23.5333;-46.3473
Poloni;3539905;-20.7829;-49.8258
Pompéia;3540002;-22.107;-50.176
Pongaí;3540101;-21.7396;-49.3604
Pontal;3540200;-21.0216;-48.0423
Pontalinda;3540259;-20.4396;-50.5258
Pontes Gestal;3540309;-20.1727;-49.7064
Populina;3540408;-19.9453;-50.538
Porangaba;3540507;-23.1761;-48.1195
Porto Feliz;3540606;-23.2093;-47.5251
Porto Ferreira;3540705;-21.8498;-47.487
Potim;3540754;-22.8343;-45.2552
Potirendaba;3540804;-21.0428;-49.3815
Pracinha;3540853;-21.8496;-51.0868
Pradópolis;3540903;-21.3626;-48.0679
Praia Grande;3541000;-24.0084;-46.4121
Pratânia;3541059;-22.8112;-48.6636
Presidente Alves;3541109;-22.0999;-49.4381
Presidente Bernardes;3541208;-22.0082;-51.5565
Presidente Epitácio;3541307;-21.7651;-52.1111
Presidente Prudente;3541406;-22.1207;-51.3925
Presidente Venceslau;3541505;-21.8732;-51.8447
Promissão;3541604;-21.5356;-49.8599
Quadra;3541653;-23.2993;-48.0547
Quatá;3541703;-22.2456;-50.6966
Queiroz;3541802;-21.7969;-50.2415
Queluz;3541901;-22.5312;-44.7781
Quintana;3542008;-22.0692;-50.307
Rafard;3542107;-23.0105;-47.5318
Rancharia;3542206;-22.2269;-50.893
Redenção da Serra;3542305;-23.2638;-45.5422
Regente Feijó;3542404;-22.2181;-51.3055
Reginópolis;3542503;-21.8914;-49.2268
Registro;3542602;-24.4979;-47.8449
Restinga;3542701;-20.6056;-47.4833
Ribeira;3542800;-24.6517;-49.0044
Ribeirão Bonito;3542909;-22.0685;-48.182
Ribeirão Branco;3543006;-24.2206;-48.7635
Ribeirão Corrente;3543105;-20.4579;-47.5904
Ribeirão do Sul;3543204;-22.789;-49.933
Ribeirão dos Índios;3543238;-21.8382;-51.6103
Ribeirão Grande;3543253;-24.1011;-48.3679
Ribeirão Pires;3543303;-23.7067;-46.4058
Ribeirão Preto;3543402;-21.1699;-47.8099
Rifaina;3543600;-20.0803;-47.4291
Rincão;3543709;-21.5894;-48.0728
Rinópolis;3543808;-21.7284;-50.7239
Rio Claro;3543907;-22.3984;-47.5546
Rio das Pedras;3544004;-22.8417;-47.6047
Rio Grande da Serra;3544103;-23.7437;-46.3971
Riolândia;3544202;-19.9868;-49.6836
Riversul;3543501;-23.829;-49.429
Rosana;3544251;-22.5782;-53.0603
Roseira;3544301;-22.8938;-45.307
Rubiácea;3544400;-21.3006;-50.7296
Rubinéia;3544509;-20.1759;-51.007
Sabino;3544608;-21.4593;-49.5755
Sagres;3544707;-21.8823;-50.9594
Sales;3544806;-21.3427;-49.4897
Sales Oliveira;3544905;-20.7696;-47.8369
Salesópolis;3545001;-23.5288;-45.8465
Salmourão;3545100;-21.6267;-50.8614
Saltinho;3545159;-22.8442;-47.6754
Salto;3545209;-23.1996;-47.2931
Salto de Pirapora;3545308;-23.6474;-47.5743
Salto Grande;3545407;-22.8894;-49.9831
Sandovalina;3545506;-22.4551;-51.7648
Santa Adélia;3545605;-21.2427;-48.8063
Santa Albertina;3545704;-20.0311;-50.7297
Santa Bárbara d'Oeste;3545803;-22.7553;-47.4143
Santa Branca;3546009;-23.3933;-45.8875
Santa Clara d'Oeste;3546108;-20.09;-50.9491
Santa Cruz da Conceição;3546207;-22.1405;-47.4512
Santa Cruz da Esperança;3546256;-21.2951;-47.4304
Santa Cruz das Palmeiras;3546306;-21.8235;-47.248
Santa Cruz do Rio Pardo;3546405;-22.8988;-49.6354
Santa Ernestina;3546504;-21.4618;-48.3953
Santa Fé do Sul;3546603;-20.2083;-50.932
Santa Gertrudes;3546702;-22.4572;-47.5272
Santa Isabel;3546801;-23.3172;-46.2237
Santa Lúcia;3546900;-21.685;-48.0885
Santa Maria da Serra;3547007;-22.5661;-48.1593
Santa Mercedes;3547106;-21.3495;-51.7564
Santa Rita d'Oeste;3547403;-20.1414;-50.8358
Santa Rita do Passa Quatro;3547502;-21.7083;-47.478
Santa Rosa de Viterbo;3547601;-21.4776;-47.3622
Santa Salete;3547650;-20.2429;-50.6887
Santana da Ponte Pensa;3547205;-20.2523;-50.8014
Santana de Parnaíba;3547304;-23.4439;-46.9178
Santo Anastácio;3547700;-21.9747;-51.6527
Santo André;3547809;-23.6737;-46.5432
Santo Antônio da Alegria;3547908;-21.0864;-47.1464
Santo Antônio de Posse;3548005;-22.6029;-46.9192
Santo Antônio do Aracanguá;3548054;-20.9331;-50.498
Santo Antônio do Jardim;3548104;-22.1121;-46.6845
Santo Antônio do Pinhal;3548203;-22.827;-45.663
Santo Expedito;3548302;-21.8467;-51.3929
Santópolis do Aguapeí;3548401;-21.6376;-50.5044
Santos;3548500;-23.9535;-46.335
São Bento do Sapucaí;3548609;-22.6837;-45.7287
São Bernardo do Campo;3548708;-23.6914;-46.5646
São Caetano do Sul;3548807;-23.6229;-46.5548
São Carlos;3548906;-22.0174;-47.886
São Francisco;3549003;-20.3623;-50.6952
São João da Boa Vista;3549102;-21.9707;-46.7944
São João das Duas Pontes;3549201;-20.3879;-50.3792
São João de Iracema;3549250;-20.5111;-50.3561
São João do Pau d'Alho;3549300;-21.2662;-51.6672
São Joaquim da Barra;3549409;-20.5812;-47.8593
São José da Bela Vista;3549508;-20.5935;-47.6424
São José do Barreiro;3549607;-22.6414;-44.5774
São José do Rio Pardo;3549706;-21.5953;-46.8873
São José do Rio Preto;3549805;-20.8113;-49.3758
São José dos Campos;3549904;-23.1896;-45.8841
São Lourenço da Serra;3549953;-23.8491;-46.9432
São Luiz do Paraitinga;3550001;-23.222;-45.3109
São Manuel;3550100;-22.7321;-48.5723
São Miguel Arcanjo;3550209;-23.8782;-47.9935
São Pedro;3550407;-22.5483;-47.9096
São Pedro do Turvo;3550506;-22.7453;-49.7428
São Roque;3550605;-23.5226;-47.1357
São Sebastião;3550704;-23.7951;-45.4143
São Sebastião da Grama;3550803;-21.7041;-46.8208
São Simão;3550902;-21.4732;-47.5518
São Vicente;3551009;-23.9574;-46.3883
Sarapuí;3551108;-23.6397;-47.8249
Sarutaiá;3551207;-23.2721;-49.4763
Sebastianópolis do Sul;3551306;-20.6523;-49.925
Serra Azul;3551405;-21.3074;-47.5602
Serra Negra;3551603;-22.6139;-46.7033
Serrana;3551504;-21.2043;-47.5952
Sertãozinho;3551702;-21.1316;-47.9875
Sete Barras;3551801;-24.382;-47.9279
Severínia;3551900;-20.8108;-48.8054
Silveiras;3552007;-22.6638;-44.8522
Socorro;3552106;-22.5903;-46.5251
Sorocaba;3552205;-23.4969;-47.4451
Sud Mennucci;3552304;-20.6872;-50.9238
Sumaré;3552403;-22.8204;-47.2728
Suzanápolis;3552551;-20.4981;-51.0268
Suzano;3552502;-23.5448;-46.3112
Tabapuã;3552601;-20.9602;-49.0307
Tabatinga;3552700;-21.7239;-48.6896
Taboão da Serra;3552809;-23.6019;-46.7526
Taciba;3552908;-22.3866;-51.2882
Taguaí;3553005;-23.4452;-49.4024
Taiaçu;3553104;-21.1431;-48.5112
Taiúva;3553203;-21.1223;-48.4528
Tambaú;3553302;-21.7029;-47.2703
Tanabi;3553401;-20.6228;-49.6563
Tapiraí;3553500;-23.9612;-47.5062
Tapiratiba;3553609;-21.4713;-46.7448
Taquaral;3553658;-21.0737;-48.4126
Taquaritinga;3553708;-21.4049;-48.5103
