codigo_ibge;nome_munic;nome_ra;cod_ra;pop;area
3534807;Ouro Verde;RA de Presidente Prudente;9;8268;266.78
3534906;Pacaembu;RA de Presidente Prudente;9;13056;339.38
3535408;Panorama;RA de Presidente Prudente;9;15199;356.05
3536406;Paulicéia;RA de Presidente Prudente;9;7146;374.09
3538303;Piquerobi;RA de Presidente Prudente;9;3535;482.77
3539202;Pirapozinho;RA de Presidente Prudente;9;27213;477.67
3540853;Pracinha;RA de Presidente Prudente;9;2913;63.05
3541208;Presidente Bernardes;RA de Presidente Prudente;9;13720;749.23
3541307;Presidente Epitácio;RA de Presidente Prudente;9;42400;1260.28
3541406;Presidente Prudente;RA de Presidente Prudente;9;221073;560.64
3541505;Presidente Venceslau;RA de Presidente Prudente;9;38005;755.2
3542206;Rancharia;RA de Presidente Prudente;9;28847;1587.5
3542404;Regente Feijó;RA de Presidente Prudente;9;19491;263.28
3543238;Ribeirão dos Índios;RA de Presidente Prudente;9;2141;196.45
3544251;Rosana;RA de Presidente Prudente;9;18387;744.01
3544707;Sagres;RA de Presidente Prudente;9;2362;147.94
3545100;Salmourão;RA de Presidente Prudente;9;5117;172.93
3545506;Sandovalina;RA de Presidente Prudente;9;4211;455.86
3547106;Santa Mercedes;RA de Presidente Prudente;9;2813;166.75
3547700;Santo Anastácio;RA de Presidente Prudente;9;20127;552.88
3548302;Santo Expedito;RA de Presidente Prudente;9;2972;94.47
